Group Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,% Change (2000 vs 2025),T-Statistic (2000 vs 2025),P-Value (2000 vs 2025)
CSF Leak Repair,2351.3454414836956,2251.047481470652,2024.4729680923913,1982.182249975,2062.779321203804,2018.1639255586958,1931.2430507554946,1794.4900981075266,1672.6889027322582,1686.5951377304348,1727.5216861252748,1772.5905466494844,1717.6195678021977,1678.0181152472528,1684.2064662923078,1690.6819087532965,1670.4455245351649,1622.5081114181414,1579.8662438707966,1560.3267519210528,1524.7895232044245,1478.8403953150444,1384.642909922124,1293.6755208460174,1213.4253963636363,1169.2631818181817,-50.27259027153499,78.63486317056201,3.365380881778021e-246
Concha Bullosa Resection,349.7315472521739,328.90412308695653,285.71314629565217,278.4555689206522,297.8589898326087,293.16567005869564,281.1608744967033,250.33398148387093,232.5043602,233.70633108586955,234.87217405714287,240.16227113402059,232.22161950549452,227.04872153846154,228.28451345494506,227.5679378076923,225.7759223142857,218.8602093982301,212.271771739823,210.22807697894737,204.00085133274337,197.6079505716814,184.8529760238938,173.2800721415929,163.07568636363635,157.357,-55.006346657501346,66.81343075658054,9.707935877417076e-139
Dacryocystorhinostomy,1210.663661845652,1154.5162207293477,1030.1458568586954,1006.7235706358696,1137.6297358097827,1108.9841757913043,1062.8815691043956,991.2598716774194,920.5891456645161,921.5890581326087,954.4938572835165,991.7730296391752,973.8775542307692,982.4835382417582,878.6988461186813,864.930238289011,857.4108641384614,841.0156548053096,825.7721508053098,815.0371667578947,789.9908020707965,769.471235499115,715.3683192238938,666.3039422230088,626.2640645454545,604.13,-50.09927042172835,58.77885495920976,3.782580378625365e-128
Diagnostic Endoscopy,233.68458097391303,227.41116691413043,208.96382099855072,204.59711468949274,229.70579487028985,225.10014414710147,215.41972255054944,193.06196291039427,179.8932262064516,181.09662379891304,181.63016585054945,186.2829133161512,180.42058805860805,170.5219657142857,171.58874193113553,171.71339253296705,169.64855414505493,164.86896146017696,160.1257162176991,158.53263067017545,153.54753972861357,148.29454573274336,138.99389547463127,130.4683747681416,123.00874878787879,118.53775757575757,-49.27446343197529,27.445375653066908,2.8089319320602503e-108
Endoscopy with Biopsy/Debridement,338.41842858913043,335.5227102054348,314.0840689717391,307.8518375119565,333.55603917826085,328.97717871086957,315.41345766593406,280.40081668817203,261.5715115548387,263.15309036739126,264.40047510329674,269.97071572164947,261.1436511538461,255.02725543956043,228.82102177362637,228.10283295824175,226.30445690989012,219.4301228893805,213.23763686548673,211.25774663157895,204.93291639999998,198.49802370796462,186.08297805132744,174.41840220884956,164.13902090909093,158.71454545454543,-53.10109259822882,69.1399417871998,1.3704601848778145e-141
Epistaxis Control,372.06424284999997,370.13604941739135,348.4558318347826,340.59995877065217,367.27416590869564,359.84953106304346,344.96205837692304,305.8512533548387,284.0220911612903,285.2140791717391,287.5218591428572,293.33862087628864,283.3189234065934,276.368272032967,239.1734683824176,239.3638621120879,236.9779972043956,229.87020177876107,223.09340808318584,221.37510063157896,215.21211311858406,207.9363239946903,194.79778389646017,182.1345021876106,171.64725272727273,165.35672727272728,-55.55694199310847,72.91145022338205,4.997676980371209e-146
FESS - Ethmoid/Maxillary/Frontal,758.9515451982609,715.3890272697826,630.9284698373913,617.5302617949999,640.2313958773914,635.0814899904349,608.2905069962636,538.1228921118279,497.1751596,499.5662017519565,498.11215767296704,506.9287928350515,488.4381202967033,474.845881043956,478.8327939226374,479.47714504219783,474.58077622989003,460.52059347876104,372.631015,369.21879126736843,359.80385848035394,346.1626401143363,324.08140615061944,302.1838773522124,283.34788745454546,272.8331818181818,-64.05130425725537,46.466752379481775,7.755043970326023e-253
FESS - Sphenoid,573.3811945728261,532.1011368690217,460.26062089347823,451.0159299565217,471.7645054831522,466.7911010467392,447.27970623626373,396.37222032258063,366.70180854193546,368.3506456467391,368.1806411868132,375.4031894329897,361.9919718956044,352.34415873626375,354.67594905164833,355.00323456593406,350.9634007,340.8689867057522,291.774629959292,288.94267418421055,281.41570426106193,271.0053459557522,254.17825410176988,237.1180338938053,221.9610672727273,213.89063636363636,-62.696607703887686,78.36946056685362,1.2056628454230712e-245
Orbital/Optic Nerve Surgery,2168.23482735,2065.3367855043475,1880.191249017391,1843.919499332971,1921.6403813710144,1896.7940910326088,1816.9138846483515,1683.7274149462364,1568.7913677677418,1581.1671604108694,1611.7327460527472,1650.1186780068729,1598.449304084249,1559.656535201465,1564.9838215201466,1563.9362797021977,1551.5427011736265,1514.4434799292035,1459.4544533103244,1452.0584990736843,1418.8646455457226,1380.7500440294987,1297.628274176696,1206.4648005899703,1127.089703939394,1080.9322121212122,-50.14690297903207,62.66940538340645,1.7044794864390447e-266
